,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
52,49,2018-01-26,DAL,Home,POR,L,93,107,35,89,0.39299999999999996,10,30,0.33299999999999996,13,17,0.765,8,37,17,9,3,5,19,39,79,0.494,10,30,0.33299999999999996,19,23,0.826,10,54,20,4,6,14,17,1,0,101.6,116.9,91.6,0.191,0.337,0.48200000000000004,40.7,48.6,9.8,6.1,0.449,4.9,15.4,0.146,0.557,13.6,74.4,0.24100000000000002
53,50,2018-01-27,DAL,Away,DEN,L,89,91,34,85,0.4,11,31,0.355,10,19,0.526,8,43,17,8,5,8,15,34,81,0.42,12,33,0.364,11,15,0.733,9,53,23,6,8,14,21,0,0,97.3,99.5,91.5,0.22399999999999998,0.365,0.47700000000000004,44.8,50.0,8.7,10.4,0.465,7.9,15.4,0.11800000000000001,0.494,13.8,79.5,0.136
54,51,2018-01-29,DAL,Home,MIA,L,88,95,33,86,0.384,8,29,0.276,14,16,0.875,11,40,20,10,3,12,22,34,75,0.45299999999999996,12,31,0.387,15,19,0.789,11,41,23,9,11,16,19,1,0,100.2,108.1,87.9,0.18600000000000003,0.337,0.473,49.4,60.6,11.4,6.8,0.43,11.4,26.8,0.163,0.5329999999999999,16.1,72.5,0.2
55,52,2018-01-31,DAL,Away,PHO,L,88,102,32,88,0.364,10,36,0.278,14,26,0.5379999999999999,15,49,18,11,4,12,18,40,83,0.48200000000000004,11,30,0.36700000000000005,11,15,0.733,8,47,23,9,3,17,29,0,0,92.2,106.8,95.5,0.295,0.409,0.442,51.0,56.3,11.5,7.5,0.42,10.8,27.8,0.159,0.5479999999999999,15.9,81.0,0.133
56,53,2018-02-03,DAL,Away,SAC,W,106,99,41,83,0.494,13,41,0.317,11,14,0.7859999999999999,9,36,28,8,0,13,12,43,82,0.524,8,27,0.29600000000000004,5,6,0.833,7,32,23,11,3,16,21,0,1,116.8,109.1,90.8,0.16899999999999998,0.494,0.594,52.9,68.3,8.8,0.0,0.5720000000000001,12.7,26.5,0.133,0.573,15.9,79.4,0.061
57,54,2018-02-05,DAL,Away,LAC,L,101,104,33,80,0.413,17,42,0.405,18,20,0.9,7,38,22,5,5,20,23,42,87,0.483,10,27,0.37,10,12,0.833,5,39,28,10,3,13,16,0,0,102.3,105.3,98.8,0.25,0.525,0.569,49.4,66.7,5.1,8.3,0.519,18.4,17.1,0.225,0.54,12.3,86.1,0.115
58,55,2018-02-08,DAL,Away,GSW,L,103,121,40,92,0.435,9,37,0.243,14,17,0.8240000000000001,9,34,19,15,7,10,16,45,88,0.511,14,29,0.483,17,20,0.85,18,51,37,6,7,16,18,0,0,108.6,127.6,94.8,0.185,0.402,0.518,40.0,47.5,15.8,11.9,0.484,9.1,21.4,0.152,0.591,14.2,58.1,0.193
59,56,2018-02-10,DAL,Home,LAL,W,130,123,48,89,0.539,12,27,0.444,22,27,0.815,10,40,32,8,3,9,21,46,84,0.5479999999999999,16,34,0.47100000000000003,15,22,0.682,9,37,29,7,0,17,25,1,1,131.5,124.4,98.8,0.303,0.303,0.644,51.9,66.7,8.1,6.0,0.607,8.2,26.3,0.247,0.643,15.4,76.9,0.179
60,57,2018-02-11,DAL,Away,HOU,L,97,104,38,93,0.409,10,31,0.32299999999999995,11,16,0.688,12,52,26,6,4,14,25,34,78,0.436,13,45,0.289,23,33,0.6970000000000001,2,42,15,9,7,9,18,0,0,98.1,105.2,98.9,0.172,0.33299999999999996,0.485,55.3,68.4,6.1,12.1,0.462,12.3,23.1,0.11800000000000001,0.519,8.9,95.2,0.295
0,1,2017-10-18,DEN,Away,UTA,L,96,106,36,77,0.46799999999999997,13,27,0.48100000000000004,11,12,0.917,7,38,21,4,3,20,18,41,81,0.506,9,24,0.375,15,16,0.938,6,36,28,9,5,15,18,0,0,101.6,112.2,94.5,0.156,0.35100000000000003,0.583,51.4,58.3,4.2,5.3,0.552,19.6,18.9,0.14300000000000002,0.562,14.6,83.8,0.185
1,2,2017-10-21,DEN,Home,SAC,W,96,79,37,85,0.435,10,30,0.33299999999999996,12,20,0.6,18,58,25,7,2,16,19,31,85,0.365,8,23,0.348,9,13,0.6920000000000001,12,39,15,6,3,13,21,1,1,107.7,88.6,89.2,0.235,0.353,0.512,59.8,67.6,7.9,3.2,0.494,14.6,40.0,0.141,0.41200000000000003,12.5,76.9,0.106
2,3,2017-10-23,DEN,Home,WAS,L,104,109,39,80,0.488,8,23,0.348,18,23,0.7829999999999999,9,44,27,5,2,23,22,37,84,0.44,9,30,0.3,26,28,0.929,10,38,24,13,3,15,24,1,0,103.7,108.7,100.3,0.28800000000000003,0.28800000000000003,0.5770000000000001,53.7,69.2,5.0,3.7,0.5379999999999999,20.3,24.3,0.225,0.494,13.5,77.8,0.31
